Fwy	District	County	City	CA PM	Abs PM	Length	ID	Name	Lanes	Type	Sensor Type	HOV	MS ID	IRM
I80-W	4	Contra Costa	Pinole	7.62	20.953	.402	400313	oppo Appian Way rm-e-diag	4	Mainline	loops	No	DT873	L4-W-28-080-00762
I80-W	4	Contra Costa	Pinole	8.403	21.736	.535	401230	Pinole Valley Rd rm-w-diag	4	Mainline	loops	No	DT874	L4-W-28-080-00840
I80-W	4	Contra Costa	Pinole	8.692	22.025	.334	400301	oppo Pinole Valley Rd	4	Mainline	loops	No	DT469	L4-W-28-080-00869
I80-W	4	Contra Costa		9.072	22.405	.358	401084	1200' E of Pinole Valley Rd	5	Mainline	loops	No	DT470	L5-W-28-080-00907
I80-W	4	Contra Costa	Hercules	9.408	22.741	.305	401081	3000' W of SR4	4	Mainline	loops	No	DT071	L4-W-28-080-00941
I80-W	4	Contra Costa	Hercules	9.683	23.016	.281	401083	Sycamore Ave UC	4	Mainline	loops	No	DT783	L4-W-28-080-00968
I80-W	4	Contra Costa	Hercules	9.97	23.303	.248	401226	SR4 rm-w-fly/diag	4	Mainline	loops	No	DT520	L4-W-28-080-00997
I80-W	4	Contra Costa	Hercules	10.18	23.513	.109	415264	Hercules off	4	Mainline	loops	No	DT1D5	L4-W-28-080-01018
I80-W	4	Contra Costa	Hercules	10.189	23.522	.213	400707	oppo SR4 rm-e-fly/diag	4	Mainline	loops	No	DT020	L4-W-28-080-01019
I80-W	4	Contra Costa	Hercules	10.608	23.941	.596	401274	Willow Ave rm-w-diag	4	Mainline	loops	No	DT021	L4-W-28-080-01061
I80-W	4	Contra Costa		11.381	24.714	.528	400235	California St / Spring	4	Mainline	loops	No	DT023	L4-W-28-080-01138
I80-W	4	Contra Costa		11.666	24.999	.266	403459	1800' E of Calfiornia St OC	4	Mainline	loops	No	DTB41	L4-W-28-080-01167
I80-W	4	Contra Costa		11.914	25.247	.385	400501	600' W of Refinery Rd UC	4	Mainline	loops	No	DT024	L4-W-28-080-01191
I80-W	4	Contra Costa		12.437	25.77	.375	403461	W of Cummings Skywy	4	Mainline	loops	No	DTB42	L4-W-28-080-01244
I80-W	4	Contra Costa		12.666	25.999	.2	401673	Cummings Skywy rm-w-diag	4	Mainline	loops	No	DT972	L4-W-28-080-01267
I80-W	4	Contra Costa		12.838	26.171	.43	401395	oppo Cummings Skywy rm-e-diag	4	Mainline	loops	No	DT026	L4-W-28-080-01284
I80-W	4	Contra Costa		13.527	26.86	.546	404407	Pomona St rm-w-diag	4	Mainline	loops	No	DT971	L4-W-28-080-01353
I80-W	4	Contra Costa		13.931	27.264	.438	401646	Carquinez South Tower West Leg	4	Mainline	loops	No	DTB56	L4-W-28-080-01393
I80-W	4	Solano		.23	27.702	.322	401636	Carquinez North Tower West Leg	4	Mainline	loops	No	DTB55	L4-W-23-080-00023
I80-W	4	Solano	Vallejo	.47	27.942	.43	401638	W OF OF CARQUINEZ BRIDGE SUBST	4	Mainline	loops	No	DTB54	L4-W-23-080-00047
I80-W	4	Solano	Vallejo	1.09	28.562	.635	400337	Sonoma Blvd on-w-diag	3	Mainline	loops	No	DT055	L3-W-23-080-00109
I80-W	4	Solano	Vallejo	1.74	29.212	.86	400128	oppo Magazine St  on-e-hook	3	Mainline	loops	No	DT056	L3-W-23-080-00174
I80-W	4	Solano	Vallejo	2.81	30.282	.71	404408	Georgia St on-w-diag	3	Mainline	loops	No	DT059	L3-W-23-080-00281
I80-W	4	Solano	Vallejo	3.16	30.632	.295	409107	oppo Solano Ave/Springs Rd OC	3	Mainline	loops	No	DT804	L3-W-23-080-00316
I80-W	4	Solano	Vallejo	3.4	30.872	.41	400074	Tennessee St.(east) off ramp	3	Mainline	loops	No	DT060	L3-W-23-080-00340
I80-W	4	Solano	Vallejo	3.98	31.452	.485	404409	Between Redwood Rd/Tennesse St	3	Mainline	loops	No	DT061	L3-W-23-080-00398
I80-W	4	Solano	Vallejo	4.37	31.842	.29	404410	Redwood St rm-w-diag	3	Mainline	loops	No	DT062	L3-W-23-080-00437
I80-W	4	Solano	Vallejo	4.56	32.032	.125	407883	oppo Redwood Rd on-e-hook	3	Mainline	loops	No	DT8B2	L3-W-23-080-00456
I80-W	4	Solano	Vallejo	4.62	32.092	.48	404411	1000' E of Redwood prkwy	3	Mainline	loops	No	DT063	L3-W-23-080-00462
I80-W	4	Solano	Vallejo	5.52	32.992	.565	402077	EB 37 rm-e-diag	4	Mainline	loops	No	DT734	L4-W-23-080-00552
I80-W	4	Solano	Vallejo	5.75	33.222	.49	414093	Columbus Pkwy rm-w-loop	4	Mainline	loops	No	DT732	L4-W-23-080-00575
I80-W	4	Solano	Vallejo	6.5	33.972	1.15	402238	4A5344 loc 8	4	Mainline	magnetometers	No	DS908	N4-W-23-080-00650
I80-W	4	Napa		7.01	34.482	.427	411804	800' E of WB 37 Connector	4	Mainline	loops	No	DT8C0	L4-W-21-080-00701
I80-W	4	Napa		7.5	34.972	.773	402234	4A5344 loc 10	4	Mainline	magnetometers	No	DS401	N4-W-21-080-00750
I80-W	4	Solano		8.05	35.522	1.02	410820	American Canyon Rd rm-w-diag	4	Mainline	loops	No	DT8C1	L4-W-23-080-00805
I80-W	4	Solano		8.54	36.012	.48	410824	1/2 m. E of American Canyon Rd	4	Mainline	loops	No	DT8C3	L4-W-23-080-00854
I80-W	4	Solano		9.01	36.482	.545	410825	5000' E of American Canyon Rd	4	Mainline	loops	No	DT8C4	L4-W-23-080-00901
I80-W	4	Solano		9.63	37.102	.68	410826	Lynch Rd UC	4	Mainline	loops	No	DT8C5	L4-W-23-080-00963
I80-W	4	Solano	Fairfield	10.37	37.842	.845	410829	1 mi. W of Red Top Rd	4	Mainline	loops	No	DT8C7	L4-W-23-080-01037
I80-W	4	Solano	Fairfield	11.32	38.792	.765	401219	Red Top rd rm-w-diag	4	Mainline	loops	No	DT351	L4-W-23-080-01132
I80-W	4	Solano	Fairfield	11.9	39.372	.425	410790	oppo EB 12 OC	5	Mainline	loops	No	DTB68	L5-W-23-080-01190
