"freeway","direction","name"
"44","E","SR44-E"
"44","W","SR44-W"
"45","N","SR45-N"
"45","S","SR45-S"
"46","E","SR46-E"
"46","W","SR46-W"
"47","N","SR47-N"
"47","S","SR47-S"
"49","N","SR49-N"
"49","S","SR49-S"
"51","N","SR51-N"
"51","S","SR51-S"
"52","E","SR52-E"
"52","W","SR52-W"
"53","N","SR53-N"
"53","S","SR53-S"
"54","E","SR54-E"
"54","W","SR54-W"
"55","N","SR55-N"
"55","S","SR55-S"
"56","E","SR56-E"
"56","W","SR56-W"
"57","N","SR57-N"
"57","S","SR57-S"
"58","E","SR58-E"
"58","W","SR58-W"
"59","N","SR59-N"
"59","S","SR59-S"
"60","E","SR60-E"
"60","W","SR60-W"
"61","N","SR61-N"
"61","S","SR61-S"
"62","E","SR62-E"
"62","W","SR62-W"
"63","N","SR63-N"
"63","S","SR63-S"
"65","N","SR65-N"
"65","S","SR65-S"
"66","E","SR66-E"
"66","W","SR66-W"
"67","N","SR67-N"
"67","S","SR67-S"
"68","E","SR68-E"
"68","W","SR68-W"
"7","N","SR7-N"
"7","S","SR7-S"
"70","E","SR70-E"
"70","W","SR70-W"
"71","N","SR71-N"
"71","S","SR71-S"
"72","N","SR72-N"
"72","S","SR72-S"
"73","N","SR73-N"
"73","S","SR73-S"
"74","E","SR74-E"
"74","W","SR74-W"
"76","E","SR76-E"
"76","W","SR76-W"
"77","N","SR77-N"
"77","S","SR77-S"
"78","E","SR78-E"
"78","W","SR78-W"
"79","N","SR79-N"
"79","S","SR79-S"
"82","N","SR82-N"
"82","S","SR82-S"
"83","N","SR83-N"
"83","S","SR83-S"
"84","E","SR84-E"
"84","W","SR84-W"
"85","N","SR85-N"
"85","S","SR85-S"
"86","N","SR86-N"
"86","S","SR86-S"
"944","N","SR86S-N"
"944","S","SR86S-S"
"87","N","SR87-N"
"87","S","SR87-S"
"88","E","SR88-E"
"88","W","SR88-W"
"89","N","SR89-N"
"89","S","SR89-S"
"9","N","SR9-N"
"9","S","SR9-S"
"90","E","SR90-E"
"90","W","SR90-W"
"91","E","SR91-E"
"91","W","SR91-W"
"92","E","SR92-E"
"92","W","SR92-W"
"94","E","SR94-E"
"94","W","SR94-W"
"96","E","SR96-E"
"96","W","SR96-W"
"98","E","SR98-E"
"98","W","SR98-W"
"99","N","SR99-N"
"99","S","SR99-S"
"101","N","US101-N"
"101","S","US101-S"
"199","N","US199-N"
"199","S","US199-S"
"395","N","US395-N"
"395","S","US395-S"
"50","E","US50-E"
"50","W","US50-W"
"6","N","US6-N"
"6","S","US6-S"
"75","N","US75-N"
"75","S","US75-S"
"95","N","US95-N"
"95","S","US95-S"
"97","N","US97-N"
"97","S","US97-S"
